person_home_ownership,person_income,loan_int_rate
RENT,45000,8.0
RENT,138000,14.91
RENT,69700,
OWN,49000,6.76
RENT,57500,11.49
MORTGAGE,68000,7.88
RENT,110000,
MORTGAGE,50000,11.12
RENT,42000,12.87
OWN,35000,7.29
RENT,25000,10.59
RENT,37000,10.25
MORTGAGE,135000,15.33
MORTGAGE,32500,6.99
RENT,76344,9.63
RENT,50361,12.73
MORTGAGE,24091,12.99
MORTGAGE,95000,15.96
MORTGAGE,59400,12.73
RENT,33000,14.54
RENT,47000,7.9
MORTGAGE,63000,8.49
RENT,45000,10.25
MORTGAGE,130000,5.42
RENT,95004,9.63
RENT,51000,12.42
RENT,35000,7.14
RENT,34404,15.05
RENT,30500,21.74
MORTGAGE,104000,9.63
OWN,25000,6.03
RENT,42000,11.91
RENT,60000,7.14
RENT,32000,10.2
RENT,91000,6.92
MORTGAGE,90000,7.14
MORTGAGE,58896,6.76
MORTGAGE,105000,11.83
RENT,60000,
MORTGAGE,80000,8.0
RENT,31224,9.32
RENT,39000,
MORTGAGE,90000,15.31
MORTGAGE,39000,
RENT,39996,10.99
MORTGAGE,145992,
RENT,40000,10.25
RENT,44000,14.59
RENT,61500,14.22
RENT,35000,8.9
MORTGAGE,90000,5.42
MORTGAGE,87000,10.62
RENT,15996,13.35
RENT,48000,6.99
MORTGAGE,36000,7.49
RENT,57000,6.17
RENT,54996,11.89
RENT,21000,13.43
RENT,75000,8.88
RENT,50000,
RENT,40000,11.34
RENT,29856,8.94
RENT,85392,7.29
OWN,37000,13.61
RENT,29120,10.99
RENT,32000,12.92
OWN,91000,7.88
MORTGAGE,95400,12.68
MORTGAGE,90000,7.51
RENT,69000,11.49
RENT,70200,16.45
RENT,92341,7.51
RENT,73399,
RENT,60000,6.91
MORTGAGE,62400,8.9
MORTGAGE,40000,11.36
RENT,37680,14.96
RENT,35000,10.91
RENT,78000,10.99
OWN,47211,11.83
MORTGAGE,57744,10.37
RENT,69000,10.75
MORTGAGE,95000,14.96
MORTGAGE,91000,7.88
RENT,30000,13.92
MORTGAGE,97000,15.96
MORTGAGE,68000,7.9
RENT,70000,11.86
OWN,45000,6.39
MORTGAGE,42000,13.57
MORTGAGE,75000,9.99
MORTGAGE,70000,11.89
MORTGAGE,49200,7.49
MORTGAGE,78000,7.51
RENT,24000,
RENT,75531,16.49
RENT,30000,17.19
MORTGAGE,100000,13.85
RENT,38700,
RENT,24000,12.53
RENT,79000,11.49
RENT,87000,13.85
MORTGAGE,39600,7.88
MORTGAGE,53004,10.65
RENT,38000,7.66
RENT,64000,10.75
RENT,27252,13.06
RENT,51500,12.21
MORTGAGE,59000,6.03
RENT,22680,10.62
RENT,94000,12.99
MORTGAGE,48996,9.88
MORTGAGE,100000,6.17
RENT,31680,12.61
MORTGAGE,65000,9.99
MORTGAGE,78000,7.66
MORTGAGE,60000,11.26
RENT,21600,11.71
MORTGAGE,87996,6.91
RENT,58000,8.59
MORTGAGE,117000,7.51
OWN,46932,5.79
RENT,52692,12.23
RENT,40000,12.69
RENT,51000,11.12
OWN,12996,
RENT,125000,14.61
RENT,76250,10.71
MORTGAGE,127992,13.99
RENT,39996,14.11
OWN,51000,5.42
RENT,40000,11.11
MORTGAGE,65000,7.51
RENT,40800,6.62
RENT,40000,7.14
RENT,59004,14.84
MORTGAGE,72000,7.49
RENT,45000,12.21
MORTGAGE,166000,11.36
RENT,73000,
OWN,55000,6.91
RENT,33000,7.29
RENT,41000,5.79
MORTGAGE,85000,9.88
OWN,200000,12.18
RENT,24960,7.51
RENT,60500,12.84
RENT,62000,13.49
RENT,72000,13.06
MORTGAGE,42000,12.99
RENT,100000,10.65
RENT,75000,12.42
MORTGAGE,75000,
MORTGAGE,36000,13.22
RENT,36000,15.28
MORTGAGE,50000,8.32
RENT,40000,
RENT,30000,12.69
RENT,16080,16.29
RENT,47496,12.69
RENT,80400,10.65
MORTGAGE,76000,
RENT,100000,13.57
RENT,18000,12.87
RENT,32640,11.99
RENT,64000,9.83
MORTGAGE,47000,
MORTGAGE,110000,8.94
MORTGAGE,136000,19.13
RENT,92000,8.0
MORTGAGE,77000,7.51
RENT,28800,10.0
OWN,36000,14.61
RENT,75000,10.38
MORTGAGE,96000,13.92
MORTGAGE,50000,16.89
MORTGAGE,105999,9.88
RENT,44000,13.43
MORTGAGE,96050,15.28
RENT,33996,11.12
MORTGAGE,42000,6.03
OWN,49000,
MORTGAGE,136000,8.32
MORTGAGE,30000,10.99
RENT,35400,11.89
OTHER,125000,8.0
RENT,53352,6.54
RENT,14400,10.74
MORTGAGE,80000,12.61
RENT,31500,
RENT,35000,
MORTGAGE,25000,8.49
MORTGAGE,75885,11.03
MORTGAGE,65000,5.42
MORTGAGE,44000,7.51
RENT,60000,
RENT,48000,10.74
MORTGAGE,65000,7.14
MORTGAGE,48000,13.49
MORTGAGE,115600,7.29
RENT,12000,8.9
RENT,38004,6.91
MORTGAGE,130992,7.51
MORTGAGE,19200,
MORTGAGE,60000,5.99
MORTGAGE,85000,14.35
MORTGAGE,20000,5.79
RENT,45000,11.49
RENT,52000,11.71
RENT,51600,10.65
MORTGAGE,60000,7.88
MORTGAGE,56700,5.42
RENT,34000,18.25
MORTGAGE,37344,12.68
MORTGAGE,62000,13.87
MORTGAGE,103000,13.49
MORTGAGE,45000,7.51
RENT,120000,13.61
RENT,40000,7.88
MORTGAGE,113000,7.66
RENT,38400,6.76
OWN,20000,8.94
RENT,60000,6.91
RENT,23760,
OWN,48000,12.87
RENT,61000,7.49
RENT,56000,16.0
RENT,46809,12.18
OWN,39456,7.29
RENT,115275,11.28
MORTGAGE,48000,5.79
RENT,59000,12.29
MORTGAGE,50000,7.88
MORTGAGE,72000,12.21
RENT,48000,8.94
MORTGAGE,52500,15.23
MORTGAGE,76000,6.54
RENT,39996,9.63
MORTGAGE,68000,8.0
RENT,82560,7.42
MORTGAGE,74000,6.62
RENT,38000,11.71
RENT,31500,8.9
MORTGAGE,88000,11.14
OWN,42000,6.62
RENT,37200,7.9
RENT,75000,11.71
MORTGAGE,68500,11.66
RENT,29000,11.99
RENT,35000,6.54
RENT,42000,
MORTGAGE,16000,13.06
RENT,65000,8.9
MORTGAGE,70553,15.28
RENT,34000,16.89
MORTGAGE,25000,9.91
RENT,49278,13.22
OWN,27600,15.27
MORTGAGE,59500,6.62
RENT,64000,
RENT,33000,14.27
RENT,106000,12.69
RENT,28000,9.99
RENT,20000,8.07
RENT,60000,12.18
MORTGAGE,38000,7.37
RENT,37423,7.88
RENT,55000,
MORTGAGE,74476,8.49
MORTGAGE,56000,
RENT,45000,12.98
MORTGAGE,24000,11.11
RENT,100000,13.06
MORTGAGE,48000,11.36
MORTGAGE,61200,16.45
RENT,43995,13.99
OWN,95000,15.23
RENT,38000,7.88
MORTGAGE,103000,15.99
RENT,85000,13.16
RENT,75000,6.17
MORTGAGE,28500,7.68
MORTGAGE,74800,14.65
MORTGAGE,57000,19.13
RENT,15600,5.99
RENT,50000,8.94
MORTGAGE,78000,16.0
OWN,60000,12.53
MORTGAGE,38000,15.33
MORTGAGE,175000,
RENT,48000,7.9
MORTGAGE,42000,5.42
RENT,95950,11.71
MORTGAGE,84000,10.99
RENT,37500,14.26
RENT,49000,6.62
RENT,52800,14.27
RENT,33500,15.68
MORTGAGE,60000,6.54
MORTGAGE,70000,5.42
RENT,38000,13.49
RENT,28800,8.9
MORTGAGE,114600,13.06
MORTGAGE,63000,13.47
MORTGAGE,65000,7.9
RENT,57175,17.15
OWN,24000,10.59
RENT,67000,13.48
RENT,36000,17.27
MORTGAGE,67150,16.32
RENT,31200,13.49
MORTGAGE,45000,14.27
OWN,67000,6.76
MORTGAGE,112800,
OWN,22000,16.0
OWN,29004,13.16
MORTGAGE,80000,
RENT,35000,8.59
OWN,52000,15.65
RENT,70399,8.59
RENT,18000,12.18
MORTGAGE,103240,
RENT,54000,
RENT,85000,6.17
MORTGAGE,66000,11.49
MORTGAGE,49000,12.53
RENT,30000,
RENT,30000,14.65
RENT,24996,16.45
MORTGAGE,44004,14.11
MORTGAGE,32000,7.68
MORTGAGE,88000,18.84
MORTGAGE,45600,6.91
RENT,95000,10.99
RENT,69846,18.99
OWN,75000,15.33
RENT,55000,14.61
RENT,122000,11.58
OWN,62500,13.22
RENT,93492,9.45
RENT,37000,9.88
MORTGAGE,61615,10.62
MORTGAGE,50000,6.62
RENT,75000,11.49
RENT,42500,
RENT,33500,10.25
RENT,75000,10.38
RENT,45000,17.19
RENT,54000,
RENT,61000,10.39
OWN,28800,16.49
RENT,56204,14.11
RENT,57300,11.66
RENT,66000,11.86
RENT,8400,13.99
RENT,83600,8.49
RENT,45996,12.98
MORTGAGE,24000,5.42
RENT,50000,12.23
MORTGAGE,70000,11.71
RENT,47233,11.36
OWN,51600,9.88
MORTGAGE,72000,5.42
RENT,44004,11.46
RENT,60000,5.79
RENT,63000,14.42
RENT,42000,10.37
RENT,65000,10.59
OTHER,48500,15.57
RENT,42000,15.58
MORTGAGE,45000,12.53
RENT,120000,14.22
RENT,49000,7.51
RENT,22800,13.57
MORTGAGE,55000,5.79
MORTGAGE,36000,12.99
RENT,70000,7.29
RENT,27000,11.66
RENT,58608,7.51
OWN,39000,
RENT,185000,11.36
RENT,80400,7.51
RENT,41000,12.53
RENT,57000,12.53
RENT,51600,8.94
RENT,20000,11.86
MORTGAGE,60000,9.99
RENT,50500,
RENT,33000,
MORTGAGE,38000,10.99
MORTGAGE,104740,11.99
MORTGAGE,76800,6.92
MORTGAGE,92004,11.12
OWN,44004,6.62
RENT,36100,7.49
RENT,31000,11.36
MORTGAGE,49000,6.92
MORTGAGE,63410,17.51
MORTGAGE,70000,5.42
MORTGAGE,103000,14.96
RENT,21000,16.77
RENT,48600,
OWN,27800,6.99
RENT,54000,11.71
RENT,42000,
MORTGAGE,53000,14.91
MORTGAGE,86400,7.29
MORTGAGE,90000,11.34
MORTGAGE,33000,6.62
MORTGAGE,70000,7.51
OWN,12000,12.69
OWN,72000,12.42
RENT,28590,15.65
RENT,70550,15.05
MORTGAGE,51000,15.33
RENT,33800,13.57
RENT,74000,5.42
RENT,61000,
MORTGAGE,91000,7.68
MORTGAGE,65004,9.99
RENT,83100,16.35
RENT,40000,
MORTGAGE,54000,5.42
MORTGAGE,60000,12.99
RENT,44004,8.9
MORTGAGE,107000,19.69
RENT,25800,
RENT,90000,
RENT,21600,9.91
RENT,59000,
MORTGAGE,130000,18.25
RENT,84000,16.0
RENT,108366,20.25
RENT,64000,8.9
RENT,40000,10.36
RENT,63128,7.49
RENT,48000,18.64
MORTGAGE,56000,5.42
MORTGAGE,100000,10.59
MORTGAGE,80000,5.79
MORTGAGE,425000,7.88
MORTGAGE,55680,10.65
MORTGAGE,140300,11.14
MORTGAGE,36000,
RENT,34000,8.88
OTHER,79404,15.05
RENT,69000,14.09
RENT,30000,14.96
RENT,60000,
MORTGAGE,29232,11.71
RENT,37500,8.94
RENT,59000,10.74
MORTGAGE,32388,10.71
RENT,48000,12.84
MORTGAGE,36600,7.29
MORTGAGE,45000,10.65
MORTGAGE,100000,8.59
RENT,29000,12.84
RENT,12000,7.66
RENT,70000,9.45
RENT,70800,12.61
RENT,30000,6.03
RENT,24500,10.0
RENT,40000,11.71
MORTGAGE,174000,14.27
MORTGAGE,72600,7.74
RENT,75000,6.91
RENT,42000,9.25
MORTGAGE,89250,13.24
RENT,12000,
MORTGAGE,57600,
MORTGAGE,50000,12.42
MORTGAGE,70000,10.37
RENT,30000,13.16
MORTGAGE,100000,11.11
RENT,33300,
OWN,19200,6.54
RENT,41000,10.99
MORTGAGE,55000,5.79
MORTGAGE,35000,10.65
MORTGAGE,62000,7.51
MORTGAGE,54000,9.99
RENT,10800,12.23
OWN,70000,10.59
MORTGAGE,100000,11.71
RENT,13806,12.73
MORTGAGE,69743,14.11
RENT,41000,7.9
MORTGAGE,55000,13.85
MORTGAGE,140000,10.59
MORTGAGE,43000,9.63
RENT,31200,11.99
RENT,46852,10.65
RENT,39900,11.49
RENT,59000,
RENT,67500,9.76
MORTGAGE,23000,8.9
RENT,30000,7.51
MORTGAGE,50000,9.88
RENT,34900,11.49
RENT,18000,8.49
OWN,98000,7.37
RENT,51996,13.98
RENT,33000,14.54
MORTGAGE,112000,5.42
RENT,32000,7.68
MORTGAGE,67983,16.49
RENT,45792,10.38
RENT,56004,14.22
OWN,35000,13.11
RENT,30000,9.76
MORTGAGE,92000,12.68
RENT,56100,14.74
RENT,69996,13.11
MORTGAGE,37000,15.62
MORTGAGE,62000,
RENT,60000,6.17
RENT,32000,13.16
RENT,42000,7.66
MORTGAGE,80000,15.62
MORTGAGE,77000,18.53
MORTGAGE,62500,5.79
MORTGAGE,63600,11.49
MORTGAGE,19200,15.33
MORTGAGE,89000,13.22
MORTGAGE,80000,7.88
MORTGAGE,59000,12.53
RENT,34000,13.79
OWN,50000,8.94
RENT,30000,19.29
RENT,46000,14.46
RENT,80000,9.88
RENT,89772,13.92
MORTGAGE,33000,11.99
RENT,54000,9.62
RENT,30000,13.85
RENT,70000,12.68
RENT,96000,10.65
MORTGAGE,39000,8.94
MORTGAGE,105000,8.49
RENT,56000,16.7
RENT,100000,10.65
RENT,48000,7.29
RENT,39900,7.9
OWN,19008,5.42
RENT,30000,10.38
RENT,96000,11.99
RENT,101424,7.29
MORTGAGE,26400,13.23
MORTGAGE,29200,6.76
RENT,44000,15.65
RENT,45000,9.38
MORTGAGE,56000,16.7
RENT,33000,10.25
MORTGAGE,70000,9.62
MORTGAGE,68000,9.99
RENT,37200,6.92
RENT,25200,14.96
RENT,62400,9.45
RENT,40000,9.91
RENT,80004,14.26
RENT,55000,9.91
RENT,100000,16.49
RENT,50004,6.92
RENT,38400,10.59
RENT,61400,12.23
MORTGAGE,53664,10.75
RENT,62000,13.47
RENT,35325,15.95
MORTGAGE,45600,12.99
RENT,47500,10.99
RENT,58000,10.37
MORTGAGE,60000,7.14
OWN,41604,
RENT,75000,11.49
RENT,62500,12.23
MORTGAGE,33685,13.85
RENT,78000,
MORTGAGE,98000,10.59
MORTGAGE,85596,10.0
RENT,45000,10.99
RENT,33359,
RENT,55000,8.49
RENT,27996,12.53
RENT,18000,10.99
MORTGAGE,95000,12.23
RENT,69996,15.21
MORTGAGE,27983,7.88
RENT,85500,13.11
MORTGAGE,44400,14.35
OTHER,58000,13.79
RENT,45000,7.29
RENT,43500,13.57
MORTGAGE,102000,11.36
RENT,23000,6.54
MORTGAGE,49000,13.99
MORTGAGE,50000,10.99
MORTGAGE,85000,12.73
RENT,48000,9.62
MORTGAGE,57355,13.49
RENT,30996,16.63
RENT,22200,16.29
RENT,25000,6.76
RENT,22596,9.76
MORTGAGE,33300,14.59
RENT,30000,
RENT,35000,7.51
RENT,18000,15.27
RENT,45000,11.49
MORTGAGE,65000,11.99
MORTGAGE,69000,15.99
RENT,46000,7.14
MORTGAGE,48000,5.99
RENT,13200,9.91
MORTGAGE,49000,6.99
RENT,60000,7.88
RENT,26400,15.27
MORTGAGE,42000,8.59
RENT,50000,9.32
MORTGAGE,34000,11.22
MORTGAGE,80000,8.59
RENT,55782,7.51
RENT,65935,14.96
RENT,82000,12.69
RENT,46800,13.11
RENT,108000,
MORTGAGE,78000,11.78
RENT,19680,14.83
RENT,43200,13.24
MORTGAGE,80000,8.49
RENT,50663,13.22
RENT,122500,10.65
OWN,33600,18.25
MORTGAGE,88512,5.79
RENT,28800,10.38
MORTGAGE,48000,9.63
RENT,75000,11.48
RENT,110000,7.9
MORTGAGE,46000,9.99
RENT,85000,6.91
RENT,45000,14.72
RENT,72000,7.88
RENT,35324,
RENT,40944,11.36
MORTGAGE,105000,12.84
RENT,26000,16.7
RENT,31000,13.43
MORTGAGE,60000,8.9
RENT,28000,14.75
MORTGAGE,99996,11.49
RENT,33204,14.72
RENT,29004,14.22
MORTGAGE,45000,16.49
OWN,25000,9.63
RENT,93000,
RENT,26400,6.62
OWN,67000,12.69
RENT,62500,16.77
MORTGAGE,78000,6.62
RENT,68000,17.99
RENT,35000,7.12
RENT,45000,11.89
MORTGAGE,69000,14.96
MORTGAGE,80000,10.37
RENT,56000,12.87
MORTGAGE,40308,7.68
OWN,49200,13.06
MORTGAGE,54000,9.99
MORTGAGE,50400,10.99
MORTGAGE,70000,12.18
MORTGAGE,87000,11.28
RENT,72500,13.49
MORTGAGE,42000,15.28
MORTGAGE,60996,12.21
MORTGAGE,200000,11.86
RENT,57000,13.85
OWN,21000,13.79
MORTGAGE,55000,8.49
RENT,20400,10.99
RENT,34800,7.49
MORTGAGE,77078,12.18
MORTGAGE,100000,10.99
MORTGAGE,34000,6.03
MORTGAGE,52000,
MORTGAGE,93000,16.29
RENT,29000,6.62
OWN,20004,9.63
RENT,36000,9.99
RENT,72250,10.65
RENT,66000,10.39
MORTGAGE,193000,13.06
RENT,92500,11.71
RENT,105000,7.66
RENT,45000,10.38
RENT,75000,
RENT,43680,5.42
RENT,57500,
OWN,30000,13.98
RENT,34000,7.9
RENT,32500,11.49
RENT,31200,8.63
MORTGAGE,77000,7.49
MORTGAGE,40000,11.71
MORTGAGE,44000,10.08
RENT,19200,
RENT,66000,15.33
RENT,25716,6.54
MORTGAGE,40000,12.61
RENT,45000,10.25
RENT,48200,10.38
MORTGAGE,117696,6.03
RENT,54000,14.91
RENT,38000,11.89
MORTGAGE,52000,13.06
MORTGAGE,1200000,7.51
MORTGAGE,948000,9.99
RENT,70500,8.9
RENT,77100,8.49
OWN,10000,11.12
RENT,80000,15.62
RENT,80000,12.68
MORTGAGE,648000,17.19
RENT,85000,11.99
RENT,73000,19.29
RENT,89000,18.25
RENT,100000,16.11
OWN,10200,10.36
RENT,504000,11.36
MORTGAGE,500000,13.85
MORTGAGE,500000,12.29
MORTGAGE,468000,15.62
RENT,120000,10.59
OWN,10400,14.72
RENT,138000,18.64
RENT,156000,
OWN,10800,9.99
RENT,160000,14.27
RENT,150000,18.25
MORTGAGE,400000,6.03
MORTGAGE,400000,7.49
MORTGAGE,400000,11.12
MORTGAGE,325550,16.77
MORTGAGE,390000,10.99
MORTGAGE,390000,11.26
RENT,165000,11.49
RENT,170000,13.06
RENT,250000,7.29
RENT,81000,10.59
MORTGAGE,11029,10.78
OWN,350000,6.62
MORTGAGE,350000,14.65
RENT,350000,
MORTGAGE,350000,17.49
RENT,338000,17.8
RENT,287300,12.41
MORTGAGE,348000,11.83
MORTGAGE,340000,18.3
RENT,336000,13.06
OWN,334000,12.68
RENT,69996,10.99
OWN,11340,6.39
OWN,11440,12.73
RENT,73000,11.99
RENT,105500,8.49
RENT,74000,
OWN,307000,14.26
MORTGAGE,305000,17.58
MORTGAGE,300000,14.27
MORTGAGE,300000,10.65
RENT,61200,11.71
RENT,75000,10.65
RENT,80000,12.42
RENT,80000,6.62
MORTGAGE,300000,10.74
RENT,244800,14.09
MORTGAGE,300000,14.83
MORTGAGE,288000,14.83
RENT,288000,17.93
RENT,105000,5.99
RENT,112260,17.49
MORTGAGE,286000,6.62
RENT,285000,11.71
MORTGAGE,285000,13.99
MORTGAGE,232050,17.93
MORTGAGE,285000,16.32
MORTGAGE,284400,
MORTGAGE,280000,12.99
MORTGAGE,280000,12.99
MORTGAGE,280000,11.36
OWN,12000,9.62
RENT,128000,16.29
MORTGAGE,275000,13.85
MORTGAGE,273655,7.51
RENT,258000,18.64
MORTGAGE,270000,19.69
MORTGAGE,270000,11.26
MORTGAGE,267000,10.36
RENT,73000,11.11
RENT,148616,8.9
RENT,81300,12.69
RENT,89000,7.49
OWN,12000,10.75
MORTGAGE,260000,10.37
MORTGAGE,260000,8.94
MORTGAGE,260000,13.57
MORTGAGE,258000,5.99
MORTGAGE,250000,11.71
RENT,238000,17.27
RENT,65000,7.9
OWN,12000,10.99
MORTGAGE,202300,14.59
MORTGAGE,250000,7.51
MORTGAGE,250000,14.22
OWN,250000,9.88
RENT,96000,7.9
OWN,12000,11.14
RENT,111000,7.9
RENT,115000,9.91
RENT,87550,18.62
OWN,12000,14.42
MORTGAGE,240000,7.9
MORTGAGE,240000,7.51
MORTGAGE,240000,5.42
MORTGAGE,240000,8.49
MORTGAGE,240000,16.49
MORTGAGE,240000,
MORTGAGE,228000,14.91
MORTGAGE,240000,7.88
RENT,240000,7.88
RENT,193800,11.83
RENT,52000,10.99
RENT,110000,
RENT,122000,15.96
RENT,57000,15.99
MORTGAGE,231252,9.91
RENT,230000,
MORTGAGE,230000,7.49
RENT,40000,10.25
RENT,47000,15.7
RENT,48000,9.99
RENT,225000,12.42
MORTGAGE,225000,8.49
MORTGAGE,225000,9.99
RENT,48000,10.59
MORTGAGE,225000,15.31
OWN,225000,
MORTGAGE,225000,13.92
MORTGAGE,225000,
MORTGAGE,225000,13.92
MORTGAGE,225000,7.75
RENT,49861,13.11
OWN,220000,19.41
MORTGAGE,219996,6.54
MORTGAGE,218000,8.9
MORTGAGE,216000,16.02
MORTGAGE,215662,11.99
RENT,53196,11.86
RENT,54000,10.74
RENT,48000,13.61
MORTGAGE,210000,11.49
MORTGAGE,198000,
MORTGAGE,210000,12.87
OWN,209000,14.84
MORTGAGE,207182,10.62
RENT,54383,15.65
RENT,49000,11.36
OWN,13500,9.63
MORTGAGE,204000,15.31
MORTGAGE,204000,11.83
RENT,204000,9.63
RENT,162350,21.64
MORTGAGE,202040,14.46
MORTGAGE,202000,10.59
MORTGAGE,201996,
RENT,56952,11.36
RENT,60000,8.9
RENT,60000,13.49
MORTGAGE,200004,11.83
MORTGAGE,200004,7.68
MORTGAGE,200000,12.69
MORTGAGE,200000,6.03
RENT,200000,19.03
MORTGAGE,200000,7.9
MORTGAGE,200000,8.9
MORTGAGE,200000,8.9
MORTGAGE,200000,8.9
RENT,60000,
RENT,61000,9.91
MORTGAGE,200000,6.99
MORTGAGE,200000,10.99
RENT,188000,16.49
RENT,63000,11.36
RENT,63235,10.25
RENT,65000,10.38
RENT,65000,
RENT,65800,7.51
MORTGAGE,200000,9.88
RENT,200000,11.36
RENT,200000,15.33
MORTGAGE,200000,7.51
RENT,188000,10.62
RENT,66000,11.48
MORTGAGE,200000,11.14
MORTGAGE,200000,11.48
MORTGAGE,200000,11.83
RENT,188000,12.18
MORTGAGE,200000,7.74
MORTGAGE,200000,8.59
RENT,200000,12.53
MORTGAGE,200000,11.48
RENT,69000,14.09
RENT,69996,15.95
RENT,70000,11.71
OWN,14400,14.79
RENT,64000,15.2
RENT,70000,14.83
RENT,72000,16.32
RENT,72000,10.75
RENT,57800,17.19
RENT,74400,10.38
RENT,68872,15.95
RENT,75000,15.2
RENT,75000,10.38
MORTGAGE,192000,14.27
MORTGAGE,192000,11.99
MORTGAGE,192000,
MORTGAGE,190000,6.62
OWN,190000,6.03
MORTGAGE,190000,6.03
MORTGAGE,190000,17.49
MORTGAGE,190000,
OWN,14400,10.37
RENT,69000,13.75
RENT,75600,9.99
RENT,77000,10.75
MORTGAGE,190000,
RENT,190000,9.88
MORTGAGE,190000,
OWN,190000,11.83
MORTGAGE,178000,15.65
RENT,190000,11.48
MORTGAGE,190000,14.11
RENT,190000,9.63
RENT,189996,9.32
MORTGAGE,189000,6.17
RENT,78000,
RENT,78000,10.75
RENT,72000,15.95
MORTGAGE,186996,14.46
MORTGAGE,148410,16.89
MORTGAGE,186480,14.22
MORTGAGE,186063,10.46
MORTGAGE,186000,10.99
OTHER,186000,7.4
MORTGAGE,185232,
MORTGAGE,185000,10.99
MORTGAGE,173000,17.49
RENT,80000,
RENT,80000,14.09
RENT,80000,11.86
RENT,183000,19.03
RENT,80000,12.87
OWN,14400,10.62
OWN,14400,14.96
MORTGAGE,180396,12.69
MORTGAGE,180000,19.42
MORTGAGE,180000,6.03
RENT,180000,12.42
MORTGAGE,180000,14.27
MORTGAGE,180000,7.9
OWN,180000,11.71
OWN,14400,14.96
RENT,84000,15.95
RENT,85000,10.75
MORTGAGE,180000,12.99
MORTGAGE,180000,7.29
MORTGAGE,180000,5.79
MORTGAGE,180000,14.91
RENT,180000,10.37
MORTGAGE,180000,6.92
RENT,180000,13.8
RENT,85000,11.89
RENT,85000,12.21
OWN,15000,12.42
MORTGAGE,180000,11.48
RENT,168000,
RENT,180000,7.74
MORTGAGE,168000,8.94
RENT,168000,17.26
MORTGAGE,168000,17.26
RENT,90000,9.99
RENT,90000,15.58
OWN,15000,7.51
RENT,78000,
RENT,91000,11.36
MORTGAGE,15000,16.89
RENT,92200,14.96
RENT,96000,
RENT,175000,7.9
RENT,163000,16.29
RENT,175000,11.49
MORTGAGE,175000,8.49
MORTGAGE,175000,19.69
MORTGAGE,175000,8.49
RENT,96000,
RENT,97000,10.37
RENT,86000,16.0
RENT,88000,14.46
RENT,100000,11.66
MORTGAGE,15000,15.37
OWN,15000,9.32
RENT,75480,15.27
RENT,102000,9.62
MORTGAGE,15000,12.84
RENT,103250,12.73
RENT,105996,14.83
RENT,175000,
MORTGAGE,175000,7.68
MORTGAGE,174996,15.28
MORTGAGE,174000,
RENT,96000,16.89
RENT,110000,13.49
MORTGAGE,171996,14.96
MORTGAGE,159200,15.65
RENT,159000,15.95
MORTGAGE,170004,7.51
MORTGAGE,15456,8.9
MORTGAGE,158000,
RENT,158000,15.99
MORTGAGE,170000,7.49
MORTGAGE,170000,15.99
MORTGAGE,170000,12.99
MORTGAGE,170000,13.49
OWN,15523,7.49
RENT,106000,16.63
OWN,15600,
RENT,120000,11.36
RENT,108000,14.61
RENT,125000,11.36
MORTGAGE,15600,5.79
RENT,113000,15.31
RENT,170000,11.14
RENT,168000,15.27
RENT,102213,15.7
OWN,15600,7.74
RENT,135000,15.21
RENT,123000,17.19
RENT,140000,13.11
RENT,140004,15.58
RENT,143000,16.07
RENT,150000,8.49
RENT,150000,17.56
RENT,150000,11.36
OWN,16000,7.9
MORTGAGE,165000,15.62
MORTGAGE,165000,12.99
MORTGAGE,165000,12.61
RENT,150000,12.53
MORTGAGE,16000,5.42
RENT,138000,13.24
MORTGAGE,16000,7.14
RENT,139016,15.37
RENT,156000,9.88
RENT,148000,15.95
RENT,163000,9.91
RENT,170000,15.2
RENT,170000,16.32
OTHER,16000,
RENT,170000,15.21
RENT,175000,10.74
RENT,162000,6.99
MORTGAGE,127500,17.04
RENT,160800,10.99
MORTGAGE,160669,11.36
RENT,148000,19.42
RENT,125800,16.77
RENT,178000,14.46
RENT,227500,12.53
RENT,223000,18.3
RENT,235000,12.53
RENT,248735,14.11
OWN,16620,5.99
MORTGAGE,16656,14.72
RENT,78000,18.36
RENT,32004,11.12
RENT,36000,12.61
MORTGAGE,160000,8.49
MORTGAGE,160000,
MORTGAGE,160000,13.43
MORTGAGE,160000,
MORTGAGE,160000,12.23
OWN,16800,13.72
RENT,74000,15.31
OWN,16800,13.98
OWN,16800,9.88
MORTGAGE,148000,15.65
RENT,160000,11.89
MORTGAGE,160000,11.78
RENT,160000,13.04
RENT,105000,15.65
RENT,118320,12.53
RENT,108000,16.0
RENT,126000,16.7
OWN,17000,14.84
RENT,105400,15.31
RENT,128000,14.59
RENT,144600,
RENT,148716,13.23
RENT,168000,11.83
MORTGAGE,17280,
RENT,47000,17.14
RENT,49000,15.2
RENT,58000,10.75
MORTGAGE,17544,8.63
RENT,54000,16.45
OWN,17640,16.29
OWN,17676,14.74
RENT,65000,7.9
OWN,17795,
RENT,59712,17.43
RENT,67000,7.49
OWN,18000,7.9
RENT,72000,7.66
RENT,72000,14.96
RENT,72000,13.85
MORTGAGE,18000,
RENT,75860,10.99
RENT,78000,10.99
RENT,80000,13.92
RENT,85000,7.9
RENT,85000,
RENT,90000,11.49
RENT,95000,13.67
RENT,85000,16.82
RENT,100450,12.69
RENT,103832,16.69
RENT,105000,9.25
RENT,105400,13.11
RENT,110000,18.39
RENT,125000,
RENT,125004,9.25
